epoch,lr,train_loss,train_acc,valid_loss,valid_acc,valid_macro_f1
1,0.00019992675844286869,0.892088623046875,0.4528571367263794,0.9874185180664062,0.525,0.4505553130607692
2,0.00019970714670464716,0.7089290509905134,0.6385714411735535,0.9399772644042969,0.615,0.6255173561282003
3,0.000199341503410718,0.6629416765485491,0.7192857265472412,1.0262883758544923,0.585,0.59568420327914
4,0.00019883039235653807,0.6000372314453125,0.7671428322792053,0.9730990600585937,0.66,0.6779108170705328
5,0.00019817460163830687,0.6367055402483259,0.7464285492897034,0.9282398223876953,0.63,0.6392835021678754
6,0.00019737514243777925,0.6529479544503348,0.7635714411735535,0.8911768341064453,0.7,0.7140046789975054
7,0.00019643324746309646,0.6115997314453125,0.7892857193946838,0.8682585144042969,0.72,0.7345029239766081
8,0.00019535036904803958,0.5911209542410715,0.8092857003211975,0.9793609619140625,0.615,0.5991158152892962
9,0.000194128176912636,0.645107421875,0.7428571581840515,0.8270321655273437,0.675,0.7067794441919575
10,0.00019276855558857223,0.6328532627650669,0.8014285564422607,0.8736920166015625,0.69,0.7046398046398047
11,0.00019127360151338272,0.5999053519112724,0.7850000262260437,0.8600640106201172,0.705,0.7184572356197071
12,0.00018964561979789495,0.5775521850585937,0.8321428298950195,0.7858855438232422,0.765,0.7833413142614895
13,0.00018788712067191574,0.517898908342634,0.8564285635948181,0.8282769775390625,0.73,0.7485102051203746
14,0.00018600081561363877,0.6376981026785714,0.7928571701049805,0.8361930084228516,0.75,0.7681565656565658
15,0.00018398961316874182,0.5955748639787947,0.8121428489685059,0.7963963317871093,0.76,0.7754143980641258
16,0.00018185661446562003,0.5100394112723214,0.8578571677207947,0.8865145111083984,0.755,0.7731438244527249
17,0.0001796051084336708,0.556246817452567,0.8578571677207947,0.842470474243164,0.71,0.7301236345353993
18,0.000177238566732003,0.5061976841517857,0.8642857074737549,0.8527416229248047,0.71,0.7321669558511664
19,0.00017476063839639018,0.5577460152762277,0.881428599357605,0.9013470458984375,0.73,0.7430302088995884
20,0.00017217514421272206,0.5600880650111607,0.8757143020629883,0.9307476043701172,0.715,0.7215617436633952
21,0.0001694860708256295,0.5114444405691965,0.8971428275108337,0.8079187774658203,0.74,0.7588626739261949
22,0.0001666975645913675,0.500605207170759,0.8971428275108337,0.9231636047363281,0.74,0.7597160728090518
23,0.00016381392518443426,0.5578462873186384,0.8435714244842529,0.7960907745361329,0.775,0.7938394005903278
24,0.00016083959896778498,0.4747381591796875,0.9007142782211304,0.8345611572265625,0.77,0.7904737689634714
25,0.00015777917213686225,0.5281734357561384,0.8914285898208618,0.8805855560302734,0.74,0.7599475218957715
26,0.0001546373636480152,0.5301412963867187,0.868571400642395,0.9101921081542969,0.71,0.7109634551495017
27,0.00015141901794221078,0.5628874424525669,0.8678571581840515,0.8385053253173829,0.765,0.7847656348070599
28,0.000148129097475257,0.49537990025111606,0.9150000214576721,0.9557535552978516,0.765,0.7828772353472795
29,0.00014477267506605572,0.561275634765625,0.8642857074737549,0.9261721801757813,0.735,0.755703491238843
30,0.00014135492607468357,0.5330119105747768,0.8871428370475769,0.9764859771728516,0.72,0.741854365973457
31,0.00013788112042236188,0.4573465401785714,0.9378571510314941,0.9417169952392578,0.74,0.7640166514366941
32,0.00013435661446562004,0.45790945870535715,0.9192857146263123,0.8601512145996094,0.735,0.7556846447064468
33,0.0001307868427371821,0.563372323172433,0.8871428370475769,0.9218070220947265,0.75,0.7668271719995858
34,0.00012717730956631108,0.5209232875279017,0.8914285898208618,0.8603269958496094,0.76,0.7771848943943654
35,0.00012353358059153226,0.5171434674944196,0.9342857003211975,0.9377049255371094,0.755,0.7683585676520067
